"","LivroID","Titulo","Tema","Disciplina","Curso","CursoID","IES","Disponibilidade","Situação","Detalhe","Categoria"
"12",47,"Apostila da disciplina de Sistemas de Informações Gerenciais","SISTEMAS DE INFORMAÇÕES GERENCIAIS","SISTEMAS DE INFORMAÇÕES GERENCIAIS","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",NA,"Sistemas"
"18",53,"Arquitetura de Computadores","Arquitetura de Computadores","Arquitetura de Computadores","COMPUTACAO",6,"E",1,"Selecionado para o Corpus",NA,"Arquitetura"
"86",209,"Fascículo Redes de Computadores","Redes de Computadores","Redes de Computadores","INFORMATICA",1,"A",1,"Selecionado para o Corpus",212,"Redes"
"139",279,"PESQUISA E ORDENAÇÃO DE DADOS","PESQUISA E ORDENAÇÃO DE DADOS","Pesquisa e Ordenação de Dados","COMPUTACAO",5,"D",1,"Selecionado para o Corpus",NA,"Estrutura de Dados"
"3",3,"ALGORITMOS","ALGORITMOS","Algoritmos","INFORMATICA",1,"A",1,"Selecionado para o Corpus",NA,"Programação"
"78",201,"Fascículo PROGRAMAÇÃO II ","PROGRAMAÇÃO II","PROGRAMAÇÃO II","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",202,"Programação"
"131",265,"LINGUAGEM E PROGRAMAÇÃO II","LINGUAGEM E PROGRAMAÇÃO II","Linguagem de Programação II","COMPUTACAO",5,"D",1,"Selecionado para o Corpus",NA,"Programação"
"40",154,"Facísculo Sistemas Multimídia ","Sistemas Multimídia ","Sistemas Multimídia","INFORMATICA",1,"A",1,"Selecionado para o Corpus",NA,"Sistemas"
"20",128,"Banco de Dados","Banco de Dados","Banco de Dados","COMPUTACAO",5,"D",1,"Selecionado para o Corpus",NA,"Banco de Dados"
"17",52,"Arquitetura de Computadores","Arquitetura de Computadores","Arquitetura de Computadores","COMPUTACAO",5,"D",1,"Selecionado para o Corpus",NA,"Arquitetura"
"60",176,"Fascículo ENGENHARIA DE SOFTWARE","ENGENHARIA DE SOFTWARE","ENGENHARIA DE SOFTWARE","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",142,"Sistemas"
"50",166,"Fascículo BANCO DE DADOS I","BANCO DE DADOS I","BANCO DE DADOS I","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",129,"Banco de Dados"
"80",203,"Fascículo PROGRAMAÇÃO PARA INTERNET","PROGRAMAÇÃO PARA INTERNET","PROGRAMAÇÃO PARA INTERNET","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",204,"Programação"
"162",312,"Técnicas de Programação II","Técnicas de Programação II","Técnicas de Programação II","COMPUTACAO",9,"H",1,"Selecionado para o Corpus",313,"Programação"
"84",207,"Fascículo PROJETOS DE SISTEMAS","PROJETOS DE SISTEMAS","PROJETOS DE SISTEMAS","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",208,"Sistemas"
"108",235,"Gerência de Projetos de Sistemas","Gerência de Projetos de Sistemas","GERÊNCIA DE PROJETOS DE SISTEMAS","TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA",4,"C",1,"Selecionado para o Corpus",NA,"Sistemas"
"2",2,"Algoritmos","Algoritmos","Fundamentos da Organização de Computadores","COMPUTACAO",10,"I",1,"Selecionado para o Corpus",NA,"Programação"
"130",264,"LINGUAGEM E PROGRAMAÇÃO I","LINGUAGEM E PROGRAMAÇÃO I","Liguagem de Programação I","COMPUTACAO",5,"D",1,"Selecionado para o Corpus",NA,"Programação"
"76",199,"Fascículo PROGRAMAÇÃO I ","PROGRAMAÇÃO I","PROGRAMAÇÃO I","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",221,"Programação"
"147",288,"REDES DE COMPUTADORES","REDES DE COMPUTADORES","Redes de Computadores","COMPUTACAO",5,"D",1,"Selecionado para o Corpus",NA,"Redes"
"117",252,"Laboratório de Informática","Laboratório de Informática","Laboratório de Informática","COMPUTACAO",5,"D",1,"Selecionado para o Corpus",NA,"Arquitetura"
"88",211,"Fascículo Redes de Computadores","Redes de Computadores","REDES DE COMPUTADORES","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",210,"Redes"
"52",168,"Fascículo BANCO DE DADOS II","BANCO DE DADOS II","BANCO DE DADOS II","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",169,"Banco de Dados"
"104",231,"FUNDAMENTOS DE ENGENHARIA DE SOFTWARE","ENGENHARIA DE SOFTWARE","Fundamentos de Engenharia de Software","COMPUTACAO",5,"D",1,"Selecionado para o Corpus",NA,"Sistemas"
"100",225,"Fascículo TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS ","TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS","TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",49,"Programação"
"37",149,"Estrutura de Dados II","Estrutura de Dados II","Estrutura de Dados II","COMPUTACAO",9,"H",1,"Selecionado para o Corpus",150,"Estrutura de Dados"
"133",272,"Lógica de Programação","Lógica de Programação","LÓGICA DE PROGRAMAÇÃO ","TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA",4,"C",1,"Selecionado para o Corpus",NA,"Programação"
"15",50,"Apostila de Organização Estruturada de Computadores","ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES ","ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",197,"Estrutura de Dados"
"36",148,"Estrutura de Dados I","Estrutura de Dados I","Estrutura de Dados I","COMPUTACAO",9,"H",1,"Selecionado para o Corpus",147,"Estrutura de Dados"
"121",254,"Linguagem de Programação I","Linguagem de Programação","Linguagem de Programação I","COMPUTACAO",10,"I",1,"Selecionado para o Corpus",NA,"Programação"
"113",247,"INTRODUÇÃO À COMPUTAÇÃO","INTRODUÇÃO À COMPUTAÇÃO","Introdução a Computação","CIENCIAS DA COMPUTACAO",12,"K",1,"Selecionado para o Corpus",NA,"Arquitetura"
"90",213,"Fascículo SISTEMAS DE INFORMAÇÕES GERENCIAIS","SISTEMAS DE INFORMAÇÕES GERENCIAIS","SISTEMAS DE INFORMAÇÕES GERENCIAIS","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",214,"Sistemas"
"34",146,"ESTRUTURA DE DADOS","ESTRUTURA DE DADOS","Estrutura de Dados","COMPUTACAO",5,"D",1,"Selecionado para o Corpus",NA,"Estrutura de Dados"
"27",138,"CONSTRUÇÃO DE ALGORITMOS ","ALGORITMOS","CONSTRUÇÃO DE ALGORITMOS","SISTEMAS DE INFORMACAO",11,"J",1,"Selecionado para o Corpus",NA,"Programação"
"105",232,"Fundamentos de Redes de Computadores","Redes de Computadores","Fundamentos de Redes de Computadores","COMPUTACAO",10,"I",1,"Selecionado para o Corpus",NA,"Redes"
"31",143,"Engenharia de Software I","Engenharia de Software I","Engenharia de Software I","COMPUTACAO",9,"H",1,"Selecionado para o Corpus",NA,"Sistemas"
"94",217,"Fascículo SISTEMAS OPERACIONAIS II","SISTEMAS OPERACIONAIS II","SISTEMAS OPERACIONAIS II","TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS",2,"A",1,"Selecionado para o Corpus",NA,"Sistemas"
"49",165,"Fascículo Banco de Dados ","Banco de Dados ","Banco de Dados","INFORMATICA",1,"A",1,"Selecionado para o Corpus",171,"Banco de Dados"
"165",315,"Tecnologias em Redes de Computadores","Tecnologias em Redes de Computadores","TECNOLOGIAS EM REDES DE COMPUTADORES","TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA",4,"C",1,"Selecionado para o Corpus",NA,"Redes"
"149",290,"Segurança em Redes de Computadores","Segurança em Redes de Computadores","SEGURANÇA EM REDES DE COMPUTADORES","TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA",4,"C",1,"Selecionado para o Corpus",NA,"Redes"
