b,Titulo,Tema,Disciplina,Curso,Chamada UAB,IES
1,Algoritmos,Algoritmos,ALGORITMOS,TECNOLOGIA EM SISTEMA PARA INTERNET,UAB,IFMT
2,Algoritmos,Algoritmos,Fundamentos da Organização de Computadores,COMPUTACAO,UAB,UFJF
3,ALGORITMOS,ALGORITMOS,Algoritmos,INFORMATICA,UAB,IFES
4,Algoritmos e Programação,Algoritmos e Programação,Algoritmos e Programção,COMPUTACAO,UAB,UECE
5,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
6,ANÁLISE DE SISTEMAS ORIENTADOS A OBJETOS ,ANÁLISE DE SISTEMAS ORIENTADOS A OBJETOS ,ANÁLISE DE SISTEMAS ORIENTADOS A OBJETOS,TECNOLOGIA EM SISTEMA PARA INTERNET,UAB,IFMT
7,Análise e Projeto de Sistemas de Informação Estruturados,Análise e Projeto de Sistemas de Informação Estruturados,ANÁLISE E PROJETOS DE SISTEMAS DE INFORMAÇÃO ESTRUTURADOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
8,Análise e Projeto de Sistemas de Informação Orientados a Objetos,Análise e Projeto de Sistemas de Informação Orientados a Objetos,ANÁLISE E PROJETO DE SISTEMAS DE INFORMAÇÃO ORIENTADOS A OBJETOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
9,Animação - BrOffice,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
10,Animação - Comando 'se entao',Algoritmos ,Algoritmos,INFORMATICA,UAB,IFES
11,Animação - Conceito de Linguagem de Programação,Algoritmos ,Algoritmos,INFORMATICA,UAB,IFES
12,Animação - Conhecendo a Aplicação dos Ponteiros,Técnicas de Programação ,Técnicas de Programação,INFORMATICA,UAB,IFES
13,Animação Demonstração de Algoritmo que soma dois números e mostra o resultado ,PROGRAMAÇÃO I,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
14,Animação Demonstração de Estrutura ,PROGRAMAÇÃO I,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
15,Animação Demonstração de Matriz,PROGRAMAÇÃO I ,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
16,Animação Demonstração de Matriz de String ,PROGRAMAÇÃO I,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
17,Animação Demonstração de Vetor ,PROGRAMAÇÃO I ,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
18,Animação Demonstração do Comando for,PROGRAMAÇÃO I ,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
19,Animação Demonstração do Comando if,PROGRAMAÇÃO I ,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
20,Animação Demonstração do Comando if-else ,PROGRAMAÇÃO I ,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
21,Animação - Entendendo as Filas,Técnicas de Programação ,Técnicas de Programação,INFORMATICA,UAB,IFES
22,Animação - Fila,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
23,Animação - Gerenciamento de arquivo_Windows,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
24,Animação - Hardware e software,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
25,Animação - Internet: busca e e-mail,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
26,Animação - Lista,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
27,Animação - Listas Encadeadas,Técnicas de Programação ,Técnicas de Programação,INFORMATICA,UAB,IFES
28,Animação - Livraria,SISTEMAS DE INFORMAÇÕES GERENCIAIS ,SISTEMAS DE INFORMAÇÕES GERENCIAIS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
29,Animação - Pilha,Técnicas de Programação ,Técnicas de Programação,INFORMATICA,UAB,IFES
30,Animação - Pilha,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
31,Animação - Ponteiro,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
32,Animação - Ponteiros,PROGRAMAÇÃO I ,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
33,Animação - Ponteiros,PROGRAMAÇÃO II,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
34,Animação - Ramos do Direito,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
35,Animação - retroalimentação,Informática em Gestão Escolar ,Informática em Gestão Escolar,INFORMATICA NA EDUCACAO,UAB,IFES
36,Animação - Retroalimentação,Informática em Gestão Escolar,Informática em Gestão Escolar,INFORMATICA NA EDUCACAO,UAB,IFES
37,Animação sobre como criar uma classe,Linguagem de Programação II,Linguagem de Programação II,INFORMATICA,UAB,IFES
38,Animação sobre como criar uma exceção ,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
39,Animação sobre como criar um métodos,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
40,Animação - Struct,PROGRAMAÇÃO I ,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
41,Animação - Struct,PROGRAMAÇÃO II,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
42,Animação - Supermercado,SISTEMAS DE INFORMAÇÕES GERENCIAIS ,SISTEMAS DE INFORMAÇÕES GERENCIAIS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
43,Animação Vetores,Algoritmos,Algoritmos,INFORMATICA,UAB,IFES
44,APLICAÇÃO DE BANCO DE DADOS ,APLICAÇÃO DE BANCO DE DADOS ,APLICAÇÃO DE BANCO DE DADOS,TECNOLOGIA EM SISTEMA PARA INTERNET,UAB,IFMT
45,APLICATIVOS COMPUTACIONAIS,APLICATIVOS COMPUTACIONAIS,Sistemas Operacionais ,INFORMATICA,UAB,IFES
46,Apostila da disciplina de Analise de sistemas,ANÁLISE DE SISTEMAS ,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
47,Apostila da disciplina de Sistemas de Informações Gerenciais,SISTEMAS DE INFORMAÇÕES GERENCIAIS,SISTEMAS DE INFORMAÇÕES GERENCIAIS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
48,Apostila da disciplina de Sistemas Operacionais ,SISTEMAS OPERACIONAIS ,SISTEMAS OPERACIONAIS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
49,Apostila da disciplina de Técnicas de programação Avançada,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
50,Apostila de Organização Estruturada de Computadores,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES ,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
51,Apostila de Programação 2,PROGRAMAÇÃO II,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
52,Arquitetura de Computadores,Arquitetura de Computadores,Arquitetura de Computadores,COMPUTACAO,UAB,UECE
53,Arquitetura de Computadores,Arquitetura de Computadores,Arquitetura de Computadores,COMPUTACAO,UAB,UEG
54,AUDITORIA E SEGURANÇA DE SISTEMAS,AUDITORIA E SEGURANÇA DE SISTEMAS,AUDITORIA E SEGURANÇA DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
55,Aula0,Apresentação da disciplina,"Segurança da Informação: Dados, Redes e Sistemas",TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
56,Aula0,Apresentação da Disciplina,Projeto de Sistemas,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
57,Aula0,Apresentação da Disciplina,Sistemas Corporativos de Informação,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
58,Aula00,Plano de Trabalho,Software Livre,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
59,Aula01,Introdução ao software livre,Software Livre,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
60,aula04_shell_script_parte1,shell_script,Software Livre,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
61,aula05_tsi_shel_script_parte2,shel_script,Software Livre,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
62,aula06_tsi_gerenciamento e configurações_sl,SL: Gerenciamento e Configurações,Software Livre,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
63,aula07_tsi_aplicativos_sofware_livre,aplicativos_sofware_livre,Software Livre,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
64,Aula1,Fundamentos de Sistemas de Informação (SI),Sistemas Corporativos de Informação,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
65,Aula1,Introdução ao Gerenciamento de Projetos,Gestão de Projetos e Qualidade de Software,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
66,Aula1,Introdução aos Processos de Softwar,Projeto de Sistemas,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
67,Aula1,"INTRODUÇÃO, RECUPERAÇÃOEARMAZENAMENTODAINFORMAÇÃO",Modelagem de Dados e Aplicações,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
68,Aula1,Segugança nos Sistemas de Informação,"Segurança da Informação: Dados, Redes e Sistemas",TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
69,Aula1a,INTRODUÇÃO ÀS TECNOLOGIAS DE COMUNICAÇÃO SEM-FIO: HISTÓRICO DE EVOLUÇÃO,Computação Móvel,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
70,Aula1b,INTRODUÇÃO A COMPUTAÇÃO MÓVEL,Computação Móvel,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
71,Aula 1 Definicao de Sistema Computacional,Definicao de Sistema Computacional,Sistemas Computacionais,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
