LivroID,Titulo,Tema,Disciplina,Curso,IES
1,Algoritmos,Algoritmos,ALGORITMOS,TECNOLOGIA EM SISTEMA PARA INTERNET,B
2,Algoritmos,Algoritmos,Fundamentos da Organização de Computadores,COMPUTACAO,I
3,ALGORITMOS,ALGORITMOS,Algoritmos,INFORMATICA,A
4,Algoritmos e Programação,Algoritmos e Programação,Algoritmos e Programção,COMPUTACAO,D
5,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
6,ANÁLISE DE SISTEMAS ORIENTADOS A OBJETOS ,ANÁLISE DE SISTEMAS ORIENTADOS A OBJETOS ,ANÁLISE DE SISTEMAS ORIENTADOS A OBJETOS,TECNOLOGIA EM SISTEMA PARA INTERNET,B
7,Análise e Projeto de Sistemas de Informação Estruturados,Análise e Projeto de Sistemas de Informação Estruturados,ANÁLISE E PROJETOS DE SISTEMAS DE INFORMAÇÃO ESTRUTURADOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,C
8,Análise e Projeto de Sistemas de Informação Orientados a Objetos,Análise e Projeto de Sistemas de Informação Orientados a Objetos,ANÁLISE E PROJETO DE SISTEMAS DE INFORMAÇÃO ORIENTADOS A OBJETOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,C
44,APLICAÇÃO DE BANCO DE DADOS ,APLICAÇÃO DE BANCO DE DADOS ,APLICAÇÃO DE BANCO DE DADOS,TECNOLOGIA EM SISTEMA PARA INTERNET,B
45,APLICATIVOS COMPUTACIONAIS,APLICATIVOS COMPUTACIONAIS,Sistemas Operacionais ,INFORMATICA,A
46,Apostila da disciplina de Analise de sistemas,ANÁLISE DE SISTEMAS ,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
47,Apostila da disciplina de Sistemas de Informações Gerenciais,SISTEMAS DE INFORMAÇÕES GERENCIAIS,SISTEMAS DE INFORMAÇÕES GERENCIAIS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
48,Apostila da disciplina de Sistemas Operacionais ,SISTEMAS OPERACIONAIS ,SISTEMAS OPERACIONAIS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
49,Apostila da disciplina de Técnicas de programação Avançada,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
50,Apostila de Organização Estruturada de Computadores,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES ,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
51,Apostila de Programação 2,PROGRAMAÇÃO II,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
52,Arquitetura de Computadores,Arquitetura de Computadores,Arquitetura de Computadores,COMPUTACAO,D
53,Arquitetura de Computadores,Arquitetura de Computadores,Arquitetura de Computadores,COMPUTACAO,E
54,AUDITORIA E SEGURANÇA DE SISTEMAS,AUDITORIA E SEGURANÇA DE SISTEMAS,AUDITORIA E SEGURANÇA DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
128,Banco de Dados,Banco de Dados,Banco de Dados,COMPUTACAO,D
129,BANCO DE DADOS I ,BANCO DE DADOS,BANCO DE DADOS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
130,BANCO DE DADOS II,BANCO DE DADOS II,BANCO DE DADOS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
133,Características de SO,Sistemas Operacionais,Software Livre,TECNOLOGIAS E SISTEMAS DE INFORMACAO,F
134,Comando 'para',Algoritmos,Algoritmos,INFORMATICA,A
135,Comando se então senão,Algoritmos,Algoritmos,INFORMATICA,A
136,Computador e Sociedade,Computador e Sociedade,Computador e Sociedade ,COMPUTACAO,H
138,CONSTRUÇÃO DE ALGORITMOS ,ALGORITMOS,CONSTRUÇÃO DE ALGORITMOS,SISTEMAS DE INFORMACAO,J
140,Educação a distância,Educação a distância,PROGRAMAÇÃO ORIENTADA A OBJETOS,SISTEMAS DE INFORMACAO,J
141,Engenharia de software,Engenharia de Software,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,C
142,ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
143,Engenharia de Software I,Engenharia de Software I,Engenharia de Software I,COMPUTACAO,H
