LivroID,Titulo,Tema,Disciplina,Curso,CursoID,IES,Disponibilidade,Situação,Detalhe,Categoria
1,Algoritmos,Algoritmos,ALGORITMOS,TECNOLOGIA EM SISTEMA PARA INTERNET,3,B,0,Indisponível,,
2,Algoritmos,Algoritmos,Fundamentos da Organização de Computadores,COMPUTACAO,10,I,1,Selecionado para o Corpus,,Programação
3,ALGORITMOS,ALGORITMOS,Algoritmos,INFORMATICA,1,A,1,Selecionado para o Corpus,,Programação
4,Algoritmos e Programação,Algoritmos e Programação,Algoritmos e Programção,COMPUTACAO,5,D,1,Selecionado para o Corpus,,Programação
5,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,46,
6,ANÁLISE DE SISTEMAS ORIENTADOS A OBJETOS ,ANÁLISE DE SISTEMAS ORIENTADOS A OBJETOS ,ANÁLISE DE SISTEMAS ORIENTADOS A OBJETOS,TECNOLOGIA EM SISTEMA PARA INTERNET,3,B,0,Indisponível,,
7,Análise e Projeto de Sistemas de Informação Estruturados,Análise e Projeto de Sistemas de Informação Estruturados,ANÁLISE E PROJETOS DE SISTEMAS DE INFORMAÇÃO ESTRUTURADOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Sistemas
8,Análise e Projeto de Sistemas de Informação Orientados a Objetos,Análise e Projeto de Sistemas de Informação Orientados a Objetos,ANÁLISE E PROJETO DE SISTEMAS DE INFORMAÇÃO ORIENTADOS A OBJETOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Sistemas
44,APLICAÇÃO DE BANCO DE DADOS ,APLICAÇÃO DE BANCO DE DADOS ,APLICAÇÃO DE BANCO DE DADOS,TECNOLOGIA EM SISTEMA PARA INTERNET,3,B,0,Indisponível,,
45,APLICATIVOS COMPUTACIONAIS,APLICATIVOS COMPUTACIONAIS,Sistemas Operacionais ,INFORMATICA,1,A,1,Versão para Web,161,
46,Apostila da disciplina de Analise de sistemas,ANÁLISE DE SISTEMAS ,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Edição Descartada,159,
47,Apostila da disciplina de Sistemas de Informações Gerenciais,SISTEMAS DE INFORMAÇÕES GERENCIAIS,SISTEMAS DE INFORMAÇÕES GERENCIAIS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,,Sistemas
48,Apostila da disciplina de Sistemas Operacionais ,SISTEMAS OPERACIONAIS ,SISTEMAS OPERACIONAIS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Edição Descartada,216,
49,Apostila da disciplina de Técnicas de programação Avançada,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Edição Descartada,225,
50,Apostila de Organização Estruturada de Computadores,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES ,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,197,Estrutura de Dados
51,Apostila de Programação 2,PROGRAMAÇÃO II,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,200,Programação
52,Arquitetura de Computadores,Arquitetura de Computadores,Arquitetura de Computadores,COMPUTACAO,5,D,1,Selecionado para o Corpus,,Arquitetura
53,Arquitetura de Computadores,Arquitetura de Computadores,Arquitetura de Computadores,COMPUTACAO,6,E,1,Selecionado para o Corpus,,Arquitetura
54,AUDITORIA E SEGURANÇA DE SISTEMAS,AUDITORIA E SEGURANÇA DE SISTEMAS,AUDITORIA E SEGURANÇA DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,163,
128,Banco de Dados,Banco de Dados,Banco de Dados,COMPUTACAO,5,D,1,Selecionado para o Corpus,,Banco de Dados
129,BANCO DE DADOS I ,BANCO DE DADOS,BANCO DE DADOS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,166,
130,BANCO DE DADOS II,BANCO DE DADOS II,BANCO DE DADOS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,168,
133,Características de SO,Sistemas Operacionais,Software Livre,TECNOLOGIAS E SISTEMAS DE INFORMACAO,7,F,1,Slides,,
134,Comando 'para',Algoritmos,Algoritmos,INFORMATICA,1,A,1,Flash,,
135,Comando se então senão,Algoritmos,Algoritmos,INFORMATICA,1,A,1,Flash,,
136,Computador e Sociedade,Computador e Sociedade,Computador e Sociedade ,COMPUTACAO,9,H,1,Slides,,
138,CONSTRUÇÃO DE ALGORITMOS ,ALGORITMOS,CONSTRUÇÃO DE ALGORITMOS,SISTEMAS DE INFORMACAO,11,J,1,Selecionado para o Corpus,,Programação
140,Educação a distância,Educação a distância,PROGRAMAÇÃO ORIENTADA A OBJETOS,SISTEMAS DE INFORMACAO,11,J,0,Indisponível,,
141,Engenharia de software,Engenharia de Software,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Sistemas
142,ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,176,
143,Engenharia de Software I,Engenharia de Software I,Engenharia de Software I,COMPUTACAO,9,H,1,Selecionado para o Corpus,,Sistemas
144,Estrutura de dados,Estrutura de dados,ESTRUTURA DE DADOS,TECNOLOGIA EM SISTEMA PARA INTERNET,3,B,0,Indisponível,,
145,Estrutura de Dados,Estrutura de Dados,Estrutura de Dados,COMPUTACAO,6,E,1,Selecionado para o Corpus,,Estrutura de Dados
146,ESTRUTURA DE DADOS,ESTRUTURA DE DADOS,Estrutura de Dados,COMPUTACAO,5,D,1,Selecionado para o Corpus,,Estrutura de Dados
147,Estrutura de Dados I,Estrutura de Dados I,Estrutura de Dados I,COMPUTACAO,9,H,1,Edição Descartada,148,
148,Estrutura de Dados I,Estrutura de Dados I,Estrutura de Dados I,COMPUTACAO,9,H,1,Selecionado para o Corpus,147,Estrutura de Dados
149,Estrutura de Dados II,Estrutura de Dados II,Estrutura de Dados II,COMPUTACAO,9,H,1,Selecionado para o Corpus,150,Estrutura de Dados
150,Estrutura de Dados II,Estrutura de Dados II,Estrutura de Dados II,COMPUTACAO,9,H,1,Md5Duplicado,149,
151,Estrutura de SO,Sistemas Operacionais,Software Livre,TECNOLOGIAS E SISTEMAS DE INFORMACAO,7,F,1,Slides,,
154,Facísculo Sistemas Multimídia ,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,1,A,1,Selecionado para o Corpus,,Sistemas
157,Fascículo Algoritmos,Algoritmos,Algoritmos,INFORMATICA,1,A,1,Selecionado para o Corpus,158,Programação
158,Fascículo Algoritmos,Algoritmos ,Algoritmos,INFORMATICA,1,A,1,Edição Descartada,157,
159,Fascículo ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,46,Sistemas
160,Fascículo ANÁLISE DE SISTEMAS ,ANÁLISE DE SISTEMAS ,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão não diagramada,159,
161,Fascículo Aplicativos Computacionais,Aplicativos Computacionais,Sistemas Operacionais ,INFORMATICA,1,A,1,Selecionado para o Corpus,45,Sistemas
162,Fascículo Aplicativos Computacionais,Aplicativos Computacionais ,Sistemas Operacionais ,INFORMATICA,1,A,1,Versão para Web,161,
163,Fascículo AUDITORIA E SEGURANÇA DE SISTEMAS,AUDITORIA E SEGURANÇA DE SISTEMAS,AUDITORIA E SEGURANÇA DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,,Sistemas
164,Fascículo AUDITORIA E SEGURANÇA DE SISTEMAS ,AUDITORIA E SEGURANÇA DE SISTEMAS ,AUDITORIA E SEGURANÇA DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Md5Duplicado,54,
165,Fascículo Banco de Dados ,Banco de Dados ,Banco de Dados,INFORMATICA,1,A,1,Selecionado para o Corpus,171,Banco de Dados
166,Fascículo BANCO DE DADOS I,BANCO DE DADOS I,BANCO DE DADOS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,129,Banco de Dados
167,Fascículo BANCO DE DADOS I ,BANCO DE DADOS I ,BANCO DE DADOS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Edição Descartada,166,
168,Fascículo BANCO DE DADOS II,BANCO DE DADOS II,BANCO DE DADOS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,169,Banco de Dados
169,Fascículo BANCO DE DADOS II ,BANCO DE DADOS II ,BANCO DE DADOS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Md5Duplicado,130,
170,Fascículo da disciplina de Algoritmos,Algoritmos ,Algoritmos,INFORMATICA,1,A,1,Edição Descartada,157,
171,Fascículo da Disciplina de Banco de Dados,Banco de Dados ,Banco de Dados,INFORMATICA,1,A,1,Edição Descartada,165,
172,Fascículo da disciplina de Engenharia de Software,Engenharia de Software ,Engenharia de Software,INFORMATICA,1,A,1,Edição Descartada,176,
173,Fascículo de Linguagem de Programação II ,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,1,A,1,Selecionado para o Corpus,,Programação
174,Fascículo ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,Engenharia de Software,INFORMATICA,1,A,1,Edição Descartada,176,
175,Fascículo ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,Engenharia de Software,INFORMATICA,1,A,1,Somente Capa,,
176,Fascículo ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,142,Sistemas
177,Fascículo ENGENHARIA DE SOFTWARE ,ENGENHARIA DE SOFTWARE ,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Md5Duplicado,142,
181,Fascículo Fund. Sistemas de Informação,Fundamentos de Sistemas de Informação,Fundamentos de Sistemas de Informação ,INFORMATICA,1,A,1,Versão para Web,180,
180,Fascículo Fundamentos de Sistemas de Informação,Fundamentos de Sistemas de Informação,Fundamentos de Sistemas de Informação ,INFORMATICA,1,A,1,Selecionado para o Corpus,,Sistemas
184,Fascículo INFORMÁTICA E SOCIEDADE,INFORMÁTICA E SOCIEDADE,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Multidisciplinar,,
185,Fascículo INFORMÁTICA E SOCIEDADE ,INFORMÁTICA E SOCIEDADE ,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Md5Duplicado,184,
186,Fascículo INTRODUÇÃO À INFORMÁTICA,Introdução a Informática,Introdução a Informática,INFORMATICA,1,A,1,Versão para Web,187,
187,Fascículo INTRODUÇÃO À INFORMÁTICA,Introdução a Informática,Introdução a Informática,INFORMATICA,1,A,1,Selecionado para o Corpus,186,Arquitetura
191,Fascículo LINGUAGEM DE PROGRAMAÇÃO I,Linguagem de Programação I,Linguagem de Programação I ,INFORMATICA,1,A,1,Selecionado para o Corpus,257,Programação
192,Fascículo LINGUAGEM DE PROGRAMAÇÃO I,Linguagem de Programação I,Linguagem de Programação I ,INFORMATICA,1,A,1,Somente Capa,,
193,Fascículo LINGUAGEM DE PROGRAMAÇÃO I,Linguagem de Programação I,LINGUAGEM DE PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,256,Programação
194,Fascículo LINGUAGEM DE PROGRAMAÇÃO I ,Linguagem de Programação I,LINGUAGEM DE PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Edição Descartada,193,
195,Fascículo LINGUAGEM DE PROGRAMAÇÃO II,LINGUAGEM DE PROGRAMAÇÃO II,LINGUAGEM DE PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,196,Programação
196,Fascículo LINGUAGEM DE PROGRAMAÇÃO II ,LINGUAGEM DE PROGRAMAÇÃO II ,LINGUAGEM DE PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Edição Descartada,195,
197,Fascículo ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES ,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Edição Descartada,50,
198,Fascículo ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES ,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES ,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Edição Descartada,50,
199,Fascículo PROGRAMAÇÃO I ,PROGRAMAÇÃO I,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,221,Programação
200,Fascículo PROGRAMAÇÃO II,PROGRAMAÇÃO II,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,51,
201,Fascículo PROGRAMAÇÃO II ,PROGRAMAÇÃO II,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,202,Programação
202,Fascículo PROGRAMAÇÃO II ,PROGRAMAÇÃO II ,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,201,
203,Fascículo PROGRAMAÇÃO PARA INTERNET,PROGRAMAÇÃO PARA INTERNET,PROGRAMAÇÃO PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,204,Programação
204,Fascículo PROGRAMAÇÃO PARA INTERNET ,PROGRAMAÇÃO PARA INTERNET ,PROGRAMAÇÃO PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,203,
205,Fascículo PROJETO DE SISTEMAS PARA INTERNET,PROJETO DE SISTEMAS PARA INTERNET,PROJETO DE SISTEMAS PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,206,Sistemas
206,Fascículo PROJETO DE SISTEMAS PARA INTERNET ,PROJETO DE SISTEMAS PARA INTERNET ,PROJETO DE SISTEMAS PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,205,
207,Fascículo PROJETOS DE SISTEMAS,PROJETOS DE SISTEMAS,PROJETOS DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,208,Sistemas
208,Fascículo PROJETOS DE SISTEMAS ,PROJETOS DE SISTEMAS ,PROJETOS DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,207,
209,Fascículo Redes de Computadores,Redes de Computadores,Redes de Computadores,INFORMATICA,1,A,1,Selecionado para o Corpus,212,Redes
210,Fascículo Redes de Computadores,Redes de Computadores,REDES DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,211,
211,Fascículo Redes de Computadores,Redes de Computadores,REDES DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,210,Redes
212,Fascículo Redes de Computadores ,Redes de Computadores ,Redes de Computadores,INFORMATICA,1,A,1,Versão para Web,209,
213,Fascículo SISTEMAS DE INFORMAÇÕES GERENCIAIS,SISTEMAS DE INFORMAÇÕES GERENCIAIS,SISTEMAS DE INFORMAÇÕES GERENCIAIS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,214,Sistemas
214,Fascículo SISTEMAS DE INFORMAÇÕES GERENCIAIS ,SISTEMAS DE INFORMAÇÕES GERENCIAIS ,SISTEMAS DE INFORMAÇÕES GERENCIAIS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,213,
215,Fascículo SISTEMAS OPERACIONAIS I ,Sistemas Operacionais,SISTEMAS OPERACIONAIS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,48,
216,Fascículo SISTEMAS OPERACIONAIS I ,Sistemas Operacionais I,SISTEMAS OPERACIONAIS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,48,Sistemas
217,Fascículo SISTEMAS OPERACIONAIS II,SISTEMAS OPERACIONAIS II,SISTEMAS OPERACIONAIS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,,Sistemas
218,Fascículo SISTEMAS OPERACIONAIS II ,SISTEMAS OPERACIONAIS II ,SISTEMAS OPERACIONAIS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Edição Descartada,217,
221,Fascículo Técnicas de Programação,PROGRAMAÇÃO I ,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,199,
222,Fascículo Técnicas de Programação,Técnicas de Programação,Técnicas de Programação,INFORMATICA,1,A,1,Selecionado para o Corpus,223,Programação
223,Fascículo Técnicas de Programação ,Técnicas de Programação,Técnicas de Programação,INFORMATICA,1,A,1,Versão para Web,222,
224,Fascículo TÉCNICAS DE PROGRAMAÇÃO AVANÇADA ,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS ,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,49,
225,Fascículo TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS ,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,49,Programação
226,Fudamentos de Redes de Computadores,Redes de Computadores,Fundamentos de Redes de Computadores,COMPUTACAO,10,I,1,Outros,,
229,Fundamentos da Organização de Computadores,Organização de Computadores,Fundamentos da Organização de Computadores,COMPUTACAO,10,I,1,Vídeos,,
230,FUNDAMENTOS DE BANCO DE DADOS,FUNDAMENTOS DE BANCO DE DADOS,FUNDAMENTOS DE BANCO DE DADOS,TECNOLOGIA EM SISTEMA PARA INTERNET,3,B,0,Indisponível,,
231,FUNDAMENTOS DE ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,Fundamentos de Engenharia de Software,COMPUTACAO,5,D,1,Selecionado para o Corpus,,Sistemas
232,Fundamentos de Redes de Computadores,Redes de Computadores,Fundamentos de Redes de Computadores,COMPUTACAO,10,I,1,Selecionado para o Corpus,,Redes
233,FUNDAMENTOS DE REDES DE COMPUTADORES ,FUNDAMENTOS DE REDES DE COMPUTADORES ,FUNDAMENTOS DE REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMA PARA INTERNET,3,B,0,Indisponível,,
234,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,Fundamentos de Sistemas de Informação ,INFORMATICA,1,A,1,Md5Duplicado,181,
